timestamp,x,y,z,r
2024/06/05-18:53:22.239915,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.319945,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.366397,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.436790,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.534245,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.612469,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.688510,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.773675,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.858608,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.911810,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:22.974204,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.056538,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.115095,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.213506,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.265284,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.395890,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.512693,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.564543,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.646070,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.737484,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.810142,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.897340,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:23.968129,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.050497,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.128941,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.200003,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.310056,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.364356,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.451888,400.32,-96.77,272.65,-4.01
2024/06/05-18:53:24.544309,400.32,-96.77,272.65,-4.01
